feature1,feature2,feature3,label
28.249798385417357,636,7.306051754785916,low
98.1500413616619,261,5.292399690816083,low
13.490613458446777,358,9.316623127617804,low
4.531040472538184,354,9.71763022574416,high
42.07853922997189,392,5.527981849675781,medium
73.45390193110435,181,5.338098465518274,low
56.048425935359184,917,3.8195681735069775,high
98.1062689788567,406,2.269648072104747,low
22.018046418505797,52,6.0042300045495045,low
26.754549975628894,816,7.627317688282945,low
54.47285480874321,961,7.8029802205499434,medium
75.6501235020032,498,1.092450396676098,low
36.08520039633707,621,7.401413014479264,high
57.58614072013769,20,6.138028267405685,low
83.53299636399026,841,9.248857178824009,low
37.01708263594921,171,7.098530203185596,medium
57.85288148447354,830,8.710948727450225,high
73.31917592844914,563,5.092104618522003,high
82.63406907714544,929,4.31879658794799,medium
0.4099461313927688,659,5.4783892840376245,high
10.79498527876035,866,8.411874031604873,medium
18.906942398940352,996,7.974229431560966,medium
82.23404165285744,672,2.34958260794615,medium
65.82534063385677,34,2.218934192185503,medium
48.41494154750087,10,5.655746928556193,medium
70.45089073026722,640,7.098897860351721,medium
53.2644886822794,123,0.5607706826983261,medium
36.30193955843849,633,1.25307074547502,low
25.605467145634986,640,0.4907646187595982,high
26.31059189959438,92,7.365149651308464,high
5.660373343044666,987,5.941426752660254,low
25.2598583373953,109,5.926744869426237,medium
45.180270851515814,653,4.149511450665626,low
17.883973935596597,547,6.750974104093338,high
34.87350181929239,786,3.1982372382385718,high
78.38502153512222,721,3.91359878932108,high
46.3285021360767,16,3.7814276586235906,medium
59.4357149604617,921,9.451366422147494,high
2.584364650052029,494,7.049748768051152,low
70.3879971419246,98,8.646665718697266,high
2.069580282912975,775,0.7826717389527316,high
92.47639619685103,563,2.5914736935815896,high
40.679675167236965,954,6.607143669665774,low
22.03778055391936,883,4.826116079368913,medium
5.741187960297944,667,8.372902634471028,medium
91.31477984369376,320,6.893207617762002,medium
12.386596592188292,162,9.659032322145585,high
86.86764323676107,452,9.366042625662283,low
89.32593905347879,64,2.518118572147255,medium
69.66225409932053,958,4.655244410264077,low
47.65131248222959,31,3.446476588695515,medium
51.3762663424214,70,4.087828380246119,medium
76.53729285934132,24,1.177719315698471,low
13.821054255667786,841,3.231887422333457,medium
66.89459161654604,633,6.4226909075705185,high
60.61076605406448,27,8.74725814514131,high
29.440291325564072,345,6.57446449989922,medium
29.799867268004387,830,7.912426757890597,medium
58.8353276234596,323,8.691960388886095,low
26.361889618515267,384,4.607950153387458,low
41.555165620713275,761,3.1858844852088994,low
10.831196257850328,801,5.585487216391099,medium
70.07127887979843,177,9.00793022135752,low
77.01523075745854,914,8.392787904263425,low
22.258275189928668,496,1.9922653508173438,medium
50.49925709417311,502,0.8289504484247057,high
0.7321417155635168,425,5.658268529062049,high
13.43433291378311,69,2.214364858946033,high
25.54991899060933,787,4.496996643929277,low
33.22311588950356,43,5.984351613503936,high
8.983986468887284,71,7.810719482149073,medium
61.61204688246465,131,2.3544381444584928,low
77.6350474564047,298,6.706469616911646,low
65.04451709746283,659,5.030927982780883,high
7.76771451589946,129,1.0253704456113244,low
53.70817906437635,994,2.8301682605737675,medium
55.282019112896386,612,1.310052860152755,low
40.683097704973584,505,2.9994936460519215,high
13.370320372919121,407,9.765145296589658,medium
17.6148882087534,501,8.940334137583712,medium
89.02355434076851,732,1.9641257665957146,high
99.66049771541734,297,7.579394978432317,high
23.46431149400171,916,5.6833637387304305,high
43.029312884854946,292,9.376103689724966,high
49.12186075529227,890,3.470808860146292,medium
7.1571535714164085,864,2.955361209255112,medium
11.59255256893541,336,1.3267547979654515,low
75.25515611937274,566,1.9982759883609724,medium
34.06012149447554,820,4.380736435212821,low
50.29047722314199,982,2.9228566867115213,low
88.54375450489,626,0.4894395316314404,low
90.38067510819084,926,3.2415215444584797,medium
68.43182445459914,379,8.674180264684978,high
11.551594036906865,598,7.541579641640722,high
23.462019259082247,496,2.0346030577270713,high
58.99089642755116,61,2.25214353215639,high
44.273027597259485,856,5.998044339247667,low
65.10060792135671,267,9.7291638552065,low
81.15689090085722,887,6.10014134486382,medium
69.07082184320636,326,5.3177064645065055,low
84.95912848404762,645,4.697293437822626,low
84.56863167394431,741,8.871906778895287,low
74.00122934931122,695,4.380657777995633,low
66.8798297511234,887,9.54323512985976,low
6.080103850005559,301,3.1868813909112657,high
31.02988906107126,351,7.423746845961215,high
67.27996236026651,222,5.605456407309164,high
15.684640140138717,65,5.65375529078325,medium
72.93446962295637,558,3.2205325459416456,low
8.952755589919947,679,4.794524275603131,high
19.86843150009251,169,7.23021265401437,medium
46.68218613424923,851,7.407673584794447,medium
17.615609485768,283,5.258526649611737,low
82.83991576458786,454,8.682350156368097,high
88.44927534567091,139,0.21908020144019713,medium
31.746041723427854,615,4.3145306960415555,low
77.66055254188743,724,8.975803194182259,low
73.32661562176025,457,4.356206059753792,medium
41.670188163805435,28,7.502460045490459,medium
91.20899562771022,153,1.895394516330362,high
72.36800245732654,170,2.4948860686874696,high
92.53428366224728,646,2.7612192715525783,low
26.385470503998953,734,5.198724083797844,medium
91.12248754524906,512,9.136542310875097,medium
5.919511795702959,362,1.478178824299169,low
71.91456006382431,567,7.067433608992993,high
43.57551905859369,451,7.7192222866425535,medium
69.58647781600783,592,8.30075851395063,low
18.392307503600826,865,0.621889301065327,medium
56.314810185391565,942,7.09382202440774,high
24.977272573742006,25,1.5660241959885124,high
1.1656198909669402,60,5.699080427797993,high
4.762092382433069,888,1.2250861222842635,high
36.345362852857974,665,2.0916708674974362,low
